,Team,xG,xGA,xG Differential,xP
1,Manchester City,13.84,2.9,10.94,17.48
2,Arsenal,14.05,5.66,8.39,15.69
3,Tottenham Hotspur,14.23,7.8,6.42,14.32
4,Aston Villa,14.79,9.35,5.43,13.18
5,Newcastle United,15.86,6.67,9.19,13.02
6,Liverpool,13.37,8.98,4.38,12.52
7,Brighton & Hove Albion,14.55,12.44,2.11,12.34
8,West Ham United,12.99,10.69,2.31,11.56
9,Chelsea,8.66,6.56,2.11,10.56
10,Crystal Palace,8.6,6.95,1.64,10.55
11,Everton,11.02,10.44,0.57,9.84
12,Brentford,11.04,9.82,1.22,9.27
13,Nottingham Forest,7.15,9.36,-2.21,7.37
14,Manchester United,7.68,10.54,-2.86,7.33
15,Luton Town,6.37,11.83,-5.46,5.32
16,Wolverhampton,6.7,12.73,-6.03,5.17
17,Fulham,5.82,13.2,-7.38,5.0
18,Bournemouth,6.97,15.78,-8.81,4.76
19,Sheffield United,5.75,18.41,-12.66,3.44
20,Burnley,3.71,13.05,-9.34,2.78
