,event.id,team,opponent,results,outcome_code,win.pct,draw.pct,xP
0,11352250,Bournemouth,West Ham United,[ 1  0  1 ...  0 -1  0],[ 1  0  1 ...  0 -1  0],0.4223,0.3931,1.6600000000000001
1,11352250,West Ham United,Bournemouth,[-1  0 -1 ...  0  1  0],[-1  0 -1 ...  0  1  0],0.1846,0.3931,0.9469
2,11352251,Arsenal,Nottingham Forest,[2 1 2 ... 1 0 1],[1 1 1 ... 1 0 1],0.7138,0.2153,2.3567
3,11352251,Nottingham Forest,Arsenal,[-2 -1 -2 ... -1  0 -1],[-1 -1 -1 ... -1  0 -1],0.0709,0.2153,0.428
4,11352252,Brighton & Hove Albion,Luton Town,[3 1 5 ... 0 3 3],[1 1 1 ... 0 1 1],0.9176,0.0687,2.8215
5,11352252,Luton Town,Brighton & Hove Albion,[-3 -1 -5 ...  0 -3 -3],[-1 -1 -1 ...  0 -1 -1],0.0137,0.0687,0.1098
6,11352253,Everton,Fulham,[ 0  1  4 ...  1  0 -2],[ 0  1  1 ...  1  0 -1],0.5752,0.2604,1.986
7,11352253,Fulham,Everton,[ 0 -1 -4 ... -1  0  2],[ 0 -1 -1 ... -1  0  1],0.1644,0.2604,0.7536
8,11352254,Crystal Palace,Sheffield United,[3 1 2 ... 2 2 3],[1 1 1 ... 1 1 1],0.9078,0.0828,2.8062000000000005
9,11352254,Sheffield United,Crystal Palace,[-3 -1 -2 ... -2 -2 -3],[-1 -1 -1 ... -1 -1 -1],0.0094,0.0828,0.111
10,11352255,Aston Villa,Newcastle United,[ 1 -3 -5 ... -2 -1 -2],[ 1 -1 -1 ... -1 -1 -1],0.0342,0.0762,0.17880000000000001
11,11352255,Newcastle United,Aston Villa,[-1  3  5 ...  2  1  2],[-1  1  1 ...  1  1  1],0.8896,0.0762,2.745
12,11352303,Burnley,Manchester City,[-3 -4 -2 ... -3 -3 -3],[-1 -1 -1 ... -1 -1 -1],0.0033,0.026,0.0359
13,11352303,Manchester City,Burnley,[3 4 2 ... 3 3 3],[1 1 1 ... 1 1 1],0.9707,0.026,2.9381
14,11352309,Brentford,Tottenham Hotspur,[ 2 -1 -1 ...  1  0  0],[ 1 -1 -1 ...  1  0  0],0.2724,0.3151,1.1322999999999999
15,11352309,Tottenham Hotspur,Brentford,[-2  1  1 ... -1  0  0],[-1  1  1 ... -1  0  0],0.4125,0.3151,1.5525999999999998
16,11352316,Chelsea,Liverpool,[ 0  1  2 ...  0 -1 -1],[ 0  1  1 ...  0 -1 -1],0.3326,0.3982,1.396
17,11352316,Liverpool,Chelsea,[ 0 -1 -2 ...  0  1  1],[ 0 -1 -1 ...  0  1  1],0.2692,0.3982,1.2058
18,11352327,Manchester United,Wolverhampton,[-3  0  1 ... -1  0  1],[-1  0  1 ... -1  0  1],0.3481,0.2988,1.3431
19,11352327,Wolverhampton,Manchester United,[ 3  0 -1 ...  1  0 -1],[ 1  0 -1 ...  1  0 -1],0.3531,0.2988,1.3581
20,11352337,Aston Villa,Everton,[0 1 2 ... 4 4 2],[0 1 1 ... 1 1 1],0.913,0.0701,2.8091
21,11352337,Everton,Aston Villa,[ 0 -1 -2 ... -4 -4 -2],[ 0 -1 -1 ... -1 -1 -1],0.0169,0.0701,0.12079999999999999
22,11352346,Arsenal,Crystal Palace,[1 1 1 ... 0 0 1],[1 1 1 ... 0 0 1],0.6324,0.2855,2.1826999999999996
23,11352346,Crystal Palace,Arsenal,[-1 -1 -1 ...  0  0 -1],[-1 -1 -1 ...  0  0 -1],0.0821,0.2855,0.5318
24,11352358,Brentford,Fulham,[2 4 3 ... 2 3 4],[1 1 1 ... 1 1 1],0.9865,0.012,2.9715000000000003
25,11352358,Fulham,Brentford,[-2 -4 -3 ... -2 -3 -4],[-1 -1 -1 ... -1 -1 -1],0.0015,0.012,0.0165
26,11352367,Bournemouth,Liverpool,[ 0 -4 -2 ... -1 -2 -1],[ 0 -1 -1 ... -1 -1 -1],0.0325,0.0982,0.19569999999999999
27,11352367,Liverpool,Bournemouth,[0 4 2 ... 1 2 1],[0 1 1 ... 1 1 1],0.8693,0.0982,2.7060999999999997
28,11352389,Manchester City,Newcastle United,[ 1  1  0 ...  1 -1  0],[ 1  1  0 ...  1 -1  0],0.6341,0.338,2.2403
29,11352389,Newcastle United,Manchester City,[-1 -1  0 ... -1  1  0],[-1 -1  0 ... -1  1  0],0.0279,0.338,0.4217
30,11352399,Nottingham Forest,Sheffield United,[2 0 2 ... 1 2 2],[1 0 1 ... 1 1 1],0.6361,0.2426,2.1509
31,11352399,Sheffield United,Nottingham Forest,[-2  0 -2 ... -1 -2 -2],[-1  0 -1 ... -1 -1 -1],0.1213,0.2426,0.6065
32,11352407,Manchester United,Tottenham Hotspur,[ 0 -3 -3 ... -2 -2  0],[ 0 -1 -1 ... -1 -1  0],0.0518,0.1465,0.30189999999999995
33,11352407,Tottenham Hotspur,Manchester United,[0 3 3 ... 2 2 0],[0 1 1 ... 1 1 0],0.8017,0.1465,2.5516
34,11352418,Chelsea,West Ham United,[-2 -2 -2 ... -1 -3 -1],[-1 -1 -1 ... -1 -1 -1],0.0914,0.1858,0.45999999999999996
35,11352418,West Ham United,Chelsea,[2 2 2 ... 1 3 1],[1 1 1 ... 1 1 1],0.7228,0.1858,2.3542
36,11352428,Brighton & Hove Albion,Wolverhampton,[3 2 2 ... 2 0 1],[1 1 1 ... 1 0 1],0.6125,0.2266,2.0641000000000003
37,11352428,Wolverhampton,Brighton & Hove Albion,[-3 -2 -2 ... -2  0 -1],[-1 -1 -1 ... -1  0 -1],0.1609,0.2266,0.7092999999999999
38,11352437,Bournemouth,Tottenham Hotspur,[-2 -2 -1 ... -2 -2  0],[-1 -1 -1 ... -1 -1  0],0.0314,0.1469,0.24109999999999998
39,11352437,Tottenham Hotspur,Bournemouth,[2 2 1 ... 2 2 0],[1 1 1 ... 1 1 0],0.8217,0.1469,2.612
40,11352447,Arsenal,Fulham,[0 0 2 ... 3 0 1],[0 0 1 ... 1 0 1],0.7117,0.2028,2.3379
41,11352447,Fulham,Arsenal,[ 0  0 -2 ... -3  0 -1],[ 0  0 -1 ... -1  0 -1],0.0855,0.2028,0.45930000000000004
42,11352456,Brentford,Crystal Palace,[ 1  1 -1 ...  0 -2  0],[ 1  1 -1 ...  0 -1  0],0.2597,0.3771,1.1562
43,11352456,Crystal Palace,Brentford,[-1 -1  1 ...  0  2  0],[-1 -1  1 ...  0  1  0],0.3632,0.3771,1.4667000000000001
44,11352466,Brighton & Hove Albion,West Ham United,[-2 -2 -2 ... -3 -4 -2],[-1 -1 -1 ... -1 -1 -1],0.0506,0.1209,0.2727
45,11352466,West Ham United,Brighton & Hove Albion,[2 2 2 ... 3 4 2],[1 1 1 ... 1 1 1],0.8285,0.1209,2.6064
46,11352475,Aston Villa,Burnley,[2 3 4 ... 2 3 3],[1 1 1 ... 1 1 1],0.9265,0.0609,2.8404000000000003
47,11352475,Burnley,Aston Villa,[-2 -3 -4 ... -2 -3 -3],[-1 -1 -1 ... -1 -1 -1],0.0126,0.0609,0.09870000000000001
48,11352484,Chelsea,Luton Town,[3 3 5 ... 3 3 3],[1 1 1 ... 1 1 1],0.9792,0.0188,2.9564
49,11352484,Luton Town,Chelsea,[-3 -3 -5 ... -3 -3 -3],[-1 -1 -1 ... -1 -1 -1],0.002,0.0188,0.024800000000000003
50,11352495,Everton,Wolverhampton,[ 0  0  1 ...  0 -2  0],[ 0  0  1 ...  0 -1  0],0.2089,0.3617,0.9884000000000001
51,11352495,Wolverhampton,Everton,[ 0  0 -1 ...  0  2  0],[ 0  0 -1 ...  0  1  0],0.4294,0.3617,1.6499000000000001
52,11352504,Manchester United,Nottingham Forest,[ 1  1 -3 ... -1  0  2],[ 1  1 -1 ... -1  0  1],0.5382,0.2974,1.912
53,11352504,Nottingham Forest,Manchester United,[-1 -1  3 ...  1  0 -2],[-1 -1  1 ...  1  0 -1],0.1644,0.2974,0.7906
54,11352515,Liverpool,Newcastle United,[ 1 -1 -2 ...  0  1 -1],[ 1 -1 -1 ...  0  1 -1],0.3144,0.3267,1.2699
55,11352515,Newcastle United,Liverpool,[-1  1  2 ...  0 -1  1],[-1  1  1 ...  0 -1  1],0.3589,0.3267,1.4034
56,11352524,Manchester City,Sheffield United,[3 1 2 ... 3 4 2],[1 1 1 ... 1 1 1],0.9213,0.0647,2.8286000000000002
57,11352524,Sheffield United,Manchester City,[-3 -1 -2 ... -3 -4 -2],[-1 -1 -1 ... -1 -1 -1],0.014,0.0647,0.10669999999999999
58,11352534,Arsenal,Manchester United,[2 2 2 ... 0 0 1],[1 1 1 ... 0 0 1],0.67,0.2221,2.2321000000000004
59,11352534,Manchester United,Arsenal,[-2 -2 -2 ...  0  0 -1],[-1 -1 -1 ...  0  0 -1],0.1079,0.2221,0.5458
60,11352543,Bournemouth,Brentford,[-3  1  0 ...  1 -2 -2],[-1  1  0 ...  1 -1 -1],0.4189,0.2685,1.5252
61,11352543,Brentford,Bournemouth,[ 3 -1  0 ... -1  2  2],[ 1 -1  0 ... -1  1  1],0.3126,0.2685,1.2063
62,11352551,Brighton & Hove Albion,Newcastle United,[ 1  0 -1 ...  0  0  2],[ 1  0 -1 ...  0  0  1],0.6982,0.2127,2.3073
63,11352551,Newcastle United,Brighton & Hove Albion,[-1  0  1 ...  0  0 -2],[-1  0  1 ...  0  0 -1],0.0891,0.2127,0.48
64,11352561,Burnley,Tottenham Hotspur,[-6 -2 -3 ... -2 -3 -1],[-1 -1 -1 ... -1 -1 -1],0.0833,0.137,0.3869
65,11352561,Tottenham Hotspur,Burnley,[6 2 3 ... 2 3 1],[1 1 1 ... 1 1 1],0.7797,0.137,2.4760999999999997
66,11352570,Chelsea,Nottingham Forest,[ 1 -1 -1 ...  1  0  1],[ 1 -1 -1 ...  1  0  1],0.2901,0.351,1.2213
67,11352570,Nottingham Forest,Chelsea,[-1  1  1 ... -1  0 -1],[-1  1  1 ... -1  0 -1],0.3589,0.351,1.4277
