,addedTime,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,goalMouth_x,goalMouth_y,goalMouth_z,goalType,homeTeam_False,homeTeam_True,id,incidentType,name,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,playerId,player_x,player_y,player_z,reversedPeriodTime,reversedPeriodTimeSeconds,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,time,timeSeconds,xg,xgot
0,,0.0,0,,1,0,53.5,3.2,regular,1,0,1805310,shot,arnaut-danjuma,0,1.0,0,,0,827064,8.5,52.5,0,4,209,1,0.0,,0.0,,,0.0,,87,5191,,
1,,0.0,1,,0,0,46.1,19.6,regular,1,0,1805232,shot,heung-min-son,0,1.0,0,,0,111505,14.4,52.8,0,22,1290,1,0.0,,0.0,,,0.0,,69,4110,,
2,,1.0,0,,0,0,50.0,31.0,,1,0,1805215,shot,ivan-perisic,0,0.0,0,,1,38710,9.9,44.9,0,26,1510,1,0.0,,0.0,,,0.0,,65,3890,,
3,,0.0,0,,1,0,51.0,17.1,,0,1,1805214,shot,jordan-storey,0,0.0,0,,1,845941,10.8,41.7,0,27,1619,0,0.0,,0.0,,,1.0,,64,3781,,
4,,0.0,1,,0,0,58.0,18.1,,0,1,1805199,shot,benjamin-whiteman,0,0.0,1,,0,775063,19.1,47.0,0,29,1707,1,0.0,,0.0,,,0.0,,62,3693,,
5,,0.0,1,,0,0,54.2,10.1,regular,1,0,1805121,shot,heung-min-son,0,1.0,0,,0,111505,27.2,61.4,0,41,2408,1,0.0,,0.0,,,0.0,,50,2992,,
6,,0.0,1,,0,0,50.4,69.4,,1,0,1805113,shot,clement-lenglet,0,0.0,1,,0,580550,23.9,32.8,0,42,2476,1,0.0,,0.0,,,0.0,,49,2924,,
7,,0.0,1,,0,0,51.1,19.0,,1,0,1805108,shot,dejan-kulusevski,1,0.0,0,,0,928124,20.9,76.3,0,44,2606,1,0.0,,0.0,,,0.0,,47,2794,,
8,,0.0,0,,1,0,51.5,19.0,,1,0,1805047,shot,dejan-kulusevski,1,0.0,0,,0,928124,10.4,65.4,0,3,136,1,0.0,,0.0,,,0.0,,43,2564,,
9,,0.0,1,,0,0,47.6,52.8,,1,0,1805024,shot,dejan-kulusevski,0,0.0,1,,0,928124,23.2,58.5,0,9,515,0,1.0,,0.0,,,0.0,,37,2185,,
10,,0.0,0,,1,0,43.0,51.4,,0,1,1804986,shot,ryan-ledson,0,0.0,1,,0,361322,22.4,77.6,0,18,1076,1,0.0,,0.0,,,0.0,,28,1624,,
11,,0.0,0,,1,0,48.7,27.8,,1,0,1804969,shot,heung-min-son,0,0.0,0,,1,111505,27.9,40.4,0,21,1256,1,0.0,,0.0,,,0.0,,25,1444,,
12,,0.0,1,,0,0,48.3,19.0,,0,1,1804964,shot,cannon-thomas,1,0.0,0,,0,1005766,10.1,57.1,0,25,1452,0,0.0,,0.0,,,1.0,,21,1248,,
13,,0.0,1,,0,0,45.5,19.0,,0,1,1804963,shot,andrew-hughes,1,0.0,0,,0,78368,11.7,47.2,0,25,1454,0,0.0,,0.0,,,1.0,,21,1246,,
14,,0.0,1,,0,0,51.6,2.5,,1,0,1804940,shot,heung-min-son,0,0.0,0,,1,111505,25.5,64.3,0,30,1767,1,0.0,,0.0,,,0.0,,16,933,,
15,,0.0,0,,1,0,66.1,12.5,,1,0,1804903,shot,bentancur-rodrigo,0,0.0,1,,0,791190,28.3,51.5,0,39,2296,1,0.0,,0.0,,,0.0,,7,404,,
16,,0.0,1,,0,0,47.2,19.0,,1,0,1804892,shot,dejan-kulusevski,1,0.0,0,,0,928124,7.9,36.4,0,39,2333,0,0.0,,0.0,,,1.0,,7,367,,
17,,0.0,0,,1,0,50.4,20.8,,1,0,1804895,shot,ivan-perisic,1,0.0,0,,0,38710,27.9,37.0,0,39,2336,0,0.0,,1.0,,,0.0,,7,364,,
0,,0.0,0,,1,0,53.5,3.2,regular,1,0,1805310,shot,arnaut-danjuma,0,1.0,0,,0,827064,8.5,52.5,0,4,209,1,0.0,,0.0,,,0.0,,87,5191,,
1,,0.0,1,,0,0,46.1,19.6,regular,1,0,1805232,shot,heung-min-son,0,1.0,0,,0,111505,14.4,52.8,0,22,1290,1,0.0,,0.0,,,0.0,,69,4110,,
2,,1.0,0,,0,0,50.0,31.0,,1,0,1805215,shot,ivan-perisic,0,0.0,0,,1,38710,9.9,44.9,0,26,1510,1,0.0,,0.0,,,0.0,,65,3890,,
3,,0.0,0,,1,0,51.0,17.1,,0,1,1805214,shot,jordan-storey,0,0.0,0,,1,845941,10.8,41.7,0,27,1619,0,0.0,,0.0,,,1.0,,64,3781,,
4,,0.0,1,,0,0,58.0,18.1,,0,1,1805199,shot,benjamin-whiteman,0,0.0,1,,0,775063,19.1,47.0,0,29,1707,1,0.0,,0.0,,,0.0,,62,3693,,
