,xg,xgot,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,addedTime,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.033976670354605,0.4605,1800303,89,5291,2,109,shot,,,manor-solomon,862223,17.7,29.3,0,0,45.8,15.2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,0.088228218257427,,1800296,79,4726,12,674,shot,,,harry-kane,108579,12.0,56.3,0,0,39.8,13.9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,0.11619729548693,,1800293,75,4480,16,920,shot,,,aleksandar-mitrovic,192144,6.0,56.7,0,0,53.8,68.1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3,0.029151180759072,,1800281,60,3564,31,1836,shot,,,harry-kane,108579,16.5,36.3,0,0,52.9,19.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
4,0.40651580691338,0.3527,1800278,57,3416,34,1984,shot,,,harry-kane,108579,3.7,48.9,0,0,50.8,25.9,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
5,0.2280635535717,,1800266,50,2946,41,2454,shot,,,joao-palhinha,364612,5.4,51.1,0,0,54.8,80.6,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
6,0.054249253123999,0.3038,1800236,45,2749,1,2651,shot,regular,1.0,harry-kane,108579,18.4,47.2,0,0,45.9,10.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7,0.035647206008434,,1800237,45,2730,1,2670,shot,,1.0,dejan-kulusevski,928124,7.8,71.3,0,0,49.7,19.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
8,0.074774675071239,,1800235,44,2617,2,83,shot,,,harry-kane,108579,22.1,61.8,0,0,49.7,19.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
9,0.26560062170029,,1800228,42,2487,4,213,shot,,,joao-palhinha,364612,5.1,48.5,0,0,49.7,75.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
10,0.041677806526423,0.0664,1800227,41,2406,5,294,shot,,,willian,31417,12.6,28.3,0,0,52.0,15.8,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
11,0.030726464465261,0.1593,1800218,36,2153,10,547,shot,,,emerson-royal,856123,9.0,71.9,0,0,46.1,18.4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
12,0.018037382513285,,1800214,33,1964,13,736,shot,,,harry-kane,108579,26.9,64.9,0,0,46.1,58.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
13,0.02240676805377,,1800195,25,1481,21,1219,shot,,,aleksandar-mitrovic,192144,15.1,55.9,0,0,42.5,6.9,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
14,0.074490293860435,,1800189,22,1301,24,1399,shot,,,harrison-reed,365802,19.8,57.9,0,0,49.9,19.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
15,0.15343065559864,0.0312,1800181,19,1129,27,1571,shot,,,harrison-reed,365802,9.1,53.4,0,0,50.1,4.4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
16,0.032440043985844,,1800174,14,828,32,1872,shot,,,pierre-emile-hojbjerg,149593,12.7,30.3,0,0,25.4,8.3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
17,0.14135996997356,,1800173,14,828,32,1872,shot,,,ben-davies,94758,9.1,45.8,0,0,59.0,81.9,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
18,0.036338306963444,0.0211,1800172,12,715,34,1985,shot,,,andreas-pereira,285949,28.6,50.7,0,0,50.4,14.6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
19,0.020929979160428,0.2017,1800157,10,561,36,2139,shot,,,bobby-decordova-reid,151499,27.2,58.8,0,0,53.0,3.8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
