,xg,xgot,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,addedTime,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot
0,0.069218844175339,0.0459,1843392,90,5390,1,10,shot,,,harry-kane,108579,15.0,56.4,0,0,51.0,5.1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
1,0.038524549454451,,1843374,89,5295,2,105,shot,,,heung-min-son,111505,8.1,68.4,0,0,38.2,63.9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,0.040692012757063,,1843299,83,4935,8,465,shot,,,james-maddison,356398,12.4,31.5,0,0,45.9,68.1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3,0.086899004876614,0.2942,1843289,81,4844,10,556,shot,regular,,harvey-barnes,855647,18.3,47.3,0,0,46.5,3.2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
4,0.038379091769457,,1843208,76,4536,15,864,shot,,,eric-dier,146101,24.2,29.3,0,0,51.4,19.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
5,0.17818261682987,,1843109,69,4086,22,1314,shot,,,kelechi-iheanacho,359642,7.5,43.3,0,0,55.0,73.6,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6,0.29309394955635,0.0633,1842955,58,3448,33,1952,shot,,,harvey-barnes,855647,7.1,33.6,0,0,52.2,7.6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,0.023470589891076,0.0808,1842866,52,3080,39,2320,shot,,,bentancur-rodrigo,791190,28.0,63.9,0,0,48.5,27.2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
8,0.086813569068909,,1842853,50,2981,41,2419,shot,,,harvey-barnes,855647,7.7,43.7,0,0,64.4,52.8,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
9,0.12040152400732,,1842844,49,2882,42,2518,shot,,,tete,980327,11.7,57.6,0,0,41.7,26.4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
10,0.070574343204498,,1842848,49,2880,42,2520,shot,,,kristiansen-victor,1092409,6.7,33.6,0,0,50.2,19.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
11,0.16068778932095,0.3817,1842701,45,2913,1,2487,shot,regular,4.0,kelechi-iheanacho,359642,16.0,53.6,0,0,53.5,2.5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
12,0.088847525417805,,1842584,34,2026,12,674,shot,,,ivan-perisic,38710,5.3,31.6,0,0,40.5,88.9,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
13,0.046408701688051,,1842487,33,1964,13,736,shot,,,dejan-kulusevski,928124,11.2,66.6,0,0,82.2,13.9,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
14,0.085626065731049,0.3853,1842405,26,1555,20,1145,shot,,,kelechi-iheanacho,359642,12.4,67.0,0,0,53.1,2.5,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
15,0.33407258987427,0.5569,1842390,25,1479,21,1221,shot,regular,,james-maddison,356398,10.5,41.2,0,0,52.9,4.4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
16,0.031539779156446,0.1721,1842373,23,1340,23,1360,shot,regular,,nampalys-mendy,123166,15.4,71.5,0,0,47.4,31.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
17,0.017543302848935,,1842375,23,1335,23,1365,shot,,,timothy-castagne,329417,7.4,35.7,0,0,47.7,19.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
18,0.01679958216846,,1842343,21,1251,25,1449,shot,,,tete,980327,29.8,46.6,0,0,59.5,68.1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
19,0.70805364847183,0.9242,1842263,14,799,32,1901,shot,regular,,bentancur-rodrigo,791190,2.6,53.8,0,0,45.8,4.4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
20,0.086144849658012,,1842272,14,797,32,1903,shot,,,ben-davies,94758,5.4,54.9,0,0,74.1,2.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
21,0.04931803420186,0.2236,1842241,13,742,33,1958,shot,,,ivan-perisic,38710,23.9,71.1,0,0,47.9,35.4,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
22,0.12452479451895,,1842224,11,622,35,2078,shot,,,ivan-perisic,38710,14.1,34.2,0,0,41.5,1.4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
23,0.073200702667236,,1842185,5,287,41,2413,shot,,,james-maddison,356398,17.5,41.3,0,0,39.2,33.3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
24,0.085790321230888,,1842172,3,151,43,2549,shot,,,kelechi-iheanacho,359642,13.0,38.3,0,0,53.8,19.0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
25,0.091554790735245,,1842169,2,87,44,2613,shot,,,bentancur-rodrigo,791190,14.7,39.2,0,0,45.0,70.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
