,xg,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,addedTime,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.061375465244055,1856003,87,5200,4,200,shot,,,,danny-ings,130181,12.4,35.1,0,0,47.1,19.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1,0.10400318354368,1855976,79,4708,12,692,shot,,,,said-benrahma,354808,9.3,63.4,0,0,40.0,20.8,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,0.034110203385353,1855970,77,4589,14,811,shot,,,,ben-davies,94758,3.6,23.5,0,0,56.3,29.2,1,0,0,0,0,0,1,0,0,1,0,0,1,0
3,0.10590150207281,1855967,75,4482,16,918,shot,,,,said-benrahma,354808,18.7,65.5,0,0,47.1,58.3,0,0,1,0,0,1,0,0,0,1,0,0,0,1
4,0.49667939543724,1855960,72,4300,19,1100,shot,regular,0.4672,,heung-min-son,111505,14.1,42.9,0,0,48.1,4.4,1,0,0,0,0,0,1,0,1,0,0,0,0,1
5,0.03648405149579,1855963,71,4215,20,1185,shot,,,,pierre-emile-hojbjerg,149593,24.9,47.0,0,0,50.7,19.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
6,0.038675013929605,1855961,71,4213,20,1187,shot,,,,dejan-kulusevski,928124,11.8,67.0,0,0,47.7,19.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
7,0.020988512784243,1855948,70,4161,21,1239,shot,,,,clement-lenglet,580550,29.0,36.1,0,0,52.3,19.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
8,0.037619967013597,1855899,59,3537,32,1863,shot,,0.0753,,dejan-kulusevski,928124,20.5,71.7,0,0,51.7,17.7,1,0,0,0,0,0,1,0,0,0,1,0,1,0
9,0.065776862204075,1855894,58,3430,33,1970,shot,,0.1244,,jarrod-bowen,552884,12.7,40.6,0,0,52.4,3.2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
10,0.29175472259521,1855884,56,3333,35,2067,shot,regular,0.7316,,emerson-royal,856123,14.7,53.8,0,0,53.6,0.6,1,0,0,0,0,0,1,0,1,0,0,0,0,1
11,0.1295405626297,1855852,49,2898,42,2502,shot,,,,harry-kane,108579,9.0,67.4,0,0,90.3,2.8,0,0,0,1,0,0,1,0,0,1,0,0,0,1
12,0.10736353695393,1855844,48,2820,43,2580,shot,,0.0437,,richarlison,840217,16.2,53.0,0,0,49.4,0.6,1,0,0,0,0,0,1,0,0,0,1,0,0,1
13,0.020943965762854,1855778,45,2870,1,2530,shot,,,3.0,harry-kane,108579,25.6,37.6,0,0,37.8,8.3,0,0,0,1,0,0,1,0,0,1,0,0,0,1
14,0.021878598257899,1855770,45,2788,1,2612,shot,,,2.0,cristian-romero,829932,11.9,47.1,0,0,51.4,52.8,0,1,0,0,0,0,1,0,0,1,0,1,0,0
15,0.16184724867344,1855768,45,2753,1,2647,shot,,0.0323,1.0,richarlison,840217,4.0,30.3,0,0,50.4,1.9,1,0,0,0,0,0,1,0,0,0,1,0,1,0
16,0.066238179802895,1855750,43,2524,3,176,shot,,,,tomas-soucek,799041,9.7,48.9,0,0,26.9,9.7,0,0,0,0,1,1,0,0,0,1,0,1,0,0
17,0.01806359551847,1855711,36,2138,10,562,shot,,0.1286,,pierre-emile-hojbjerg,149593,25.1,66.2,0,0,52.1,1.3,1,0,0,0,0,0,1,0,0,0,1,0,0,1
18,0.034012667834759,1855690,27,1589,19,1111,shot,,,,emerson-royal,856123,23.7,54.3,0,0,48.9,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
19,0.025397434830666,1855648,18,1058,28,1642,shot,,,,harry-kane,108579,28.2,58.8,0,0,49.3,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
20,0.078346773982048,1855606,11,638,35,2062,shot,,,,skipp-oliver,859901,17.5,50.1,0,0,53.6,19.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
21,0.080659367144108,1855565,1,45,45,2655,shot,,,,jarrod-bowen,552884,19.8,48.8,0,0,42.7,5.6,1,0,0,0,0,1,0,0,0,1,0,0,1,0
