,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.24394990503788,0.7503,1970786,90,4.0,5625,1,675,shot,diogo-jota,606164,9.7,35.0,0,0,46.9,0.6,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,regular,0.14838635921478,0.381,1970783,90,3.0,5526,1,774,shot,richarlison,840217,8.5,52.0,0,0,47.5,33.5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
2,,0.14398576319218,,1970712,79,,4716,12,684,shot,pierre-emile-hojbjerg,149593,9.0,48.2,0,0,67.6,13.9,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3,regular,0.48754015564919,0.4615,1970711,77,,4608,14,792,shot,heung-min-son,111505,15.6,42.9,0,0,48.7,3.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
4,,0.030288735404611,,1970702,73,,4331,18,1069,shot,virgil-van-dijk,151545,31.1,36.9,0,0,37.3,16.7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5,,0.024935122579336,,1970700,70,,4145,21,1255,shot,trent-alexander-arnold,795064,25.9,48.1,0,0,49.8,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
6,,0.064122930169106,,1970683,65,,3896,26,1504,shot,diogo-jota,606164,4.6,38.3,0,0,45.9,50.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
7,,0.023404195904732,0.0637,1970631,57,,3363,34,2037,shot,pedro-porro,913654,21.9,78.3,0,0,49.3,32.9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
8,,0.059160735458136,,1970623,55,,3256,36,2144,shot,mohamed-salah,159665,11.7,72.0,0,0,49.8,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
9,,0.46528488397598,,1970615,54,,3222,37,2178,shot,cristian-romero,829932,8.1,53.4,0,0,55.2,10.8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,,0.070793017745018,,1970614,54,,3190,37,2210,shot,heung-min-son,111505,19.6,53.5,0,0,44.8,6.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
11,,0.14839224517345,,1970479,45,3.0,2847,1,2553,shot,virgil-van-dijk,151545,4.4,44.6,0,0,49.9,19.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
12,,0.073610916733742,0.0919,1970445,41,,2447,5,253,shot,dejan-kulusevski,928124,15.1,53.4,0,0,48.1,3.8,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
13,regular,0.36745268106461,0.195,1970434,40,,2341,6,359,shot,harry-kane,108579,7.7,54.4,0,0,50.3,12.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
14,,0.23262658715248,,1970435,39,,2294,7,406,shot,heung-min-son,111505,12.7,43.5,0,0,49.4,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
15,,0.11285993456841,,1970393,32,,1908,14,792,shot,harvey-elliott,955245,7.8,53.0,0,0,38.5,15.3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
16,,0.015641981735826,0.0488,1970383,29,,1732,17,968,shot,pedro-porro,913654,55.4,90.1,0,0,48.5,21.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
17,,0.059491444379091,,1970364,22,,1284,24,1416,shot,mohamed-salah,159665,16.0,53.6,0,0,58.2,26.4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
18,,0.11087540537119,,1970346,18,,1039,28,1661,shot,cody-gakpo,862967,16.5,40.4,0,0,48.2,23.6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
19,penalty,0.7884,0.9489,1970329,15,,857,31,1843,shot,mohamed-salah,159665,11.5,50.0,0,0,50.5,30.4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
20,regular,0.34473901987076,0.9478,1970292,5,,293,41,2407,shot,luis-diaz,883537,4.8,54.3,0,0,46.6,20.9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
21,regular,0.2169301211834,0.326,1970283,3,,168,43,2532,shot,curtis-jones,927353,4.6,40.2,0,0,48.8,0.6,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
