,goalType,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,1805310,87,5191,4,209,shot,arnaut-danjuma,827064,8.5,52.5,0,0,53.5,3.2,1,0,0,0,1,0,0,1,0,0,0,0,1
1,regular,1805232,69,4110,22,1290,shot,heung-min-son,111505,14.4,52.8,0,0,46.1,19.6,1,0,0,0,1,0,0,1,0,0,0,1,0
2,,1805215,65,3890,26,1510,shot,ivan-perisic,38710,9.9,44.9,0,0,50.0,31.0,1,0,0,0,1,0,0,0,0,1,1,0,0
3,,1805214,64,3781,27,1619,shot,jordan-storey,845941,10.8,41.7,0,0,51.0,17.1,0,0,0,1,0,1,0,0,0,1,0,0,1
4,,1805199,62,3693,29,1707,shot,benjamin-whiteman,775063,19.1,47.0,0,0,58.0,18.1,1,0,0,0,0,1,0,0,1,0,0,1,0
5,regular,1805121,50,2992,41,2408,shot,heung-min-son,111505,27.2,61.4,0,0,54.2,10.1,1,0,0,0,1,0,0,1,0,0,0,1,0
6,,1805113,49,2924,42,2476,shot,clement-lenglet,580550,23.9,32.8,0,0,50.4,69.4,1,0,0,0,1,0,0,0,1,0,0,1,0
7,,1805108,47,2794,44,2606,shot,dejan-kulusevski,928124,20.9,76.3,0,0,51.1,19.0,1,0,0,0,1,0,1,0,0,0,0,1,0
8,,1805047,43,2564,3,136,shot,dejan-kulusevski,928124,10.4,65.4,0,0,51.5,19.0,1,0,0,0,1,0,1,0,0,0,0,0,1
9,,1805024,37,2185,9,515,shot,dejan-kulusevski,928124,23.2,58.5,0,0,47.6,52.8,0,1,0,0,1,0,0,0,1,0,0,1,0
10,,1804986,28,1624,18,1076,shot,ryan-ledson,361322,22.4,77.6,0,0,43.0,51.4,1,0,0,0,0,1,0,0,1,0,0,0,1
11,,1804969,25,1444,21,1256,shot,heung-min-son,111505,27.9,40.4,0,0,48.7,27.8,1,0,0,0,1,0,0,0,0,1,0,0,1
12,,1804964,21,1248,25,1452,shot,cannon-thomas,1005766,10.1,57.1,0,0,48.3,19.0,0,0,0,1,0,1,1,0,0,0,0,1,0
13,,1804963,21,1246,25,1454,shot,andrew-hughes,78368,11.7,47.2,0,0,45.5,19.0,0,0,0,1,0,1,1,0,0,0,0,1,0
14,,1804940,16,933,30,1767,shot,heung-min-son,111505,25.5,64.3,0,0,51.6,2.5,1,0,0,0,1,0,0,0,0,1,0,1,0
15,,1804903,7,404,39,2296,shot,bentancur-rodrigo,791190,28.3,51.5,0,0,66.1,12.5,1,0,0,0,1,0,0,0,1,0,0,0,1
16,,1804892,7,367,39,2333,shot,dejan-kulusevski,928124,7.9,36.4,0,0,47.2,19.0,0,0,0,1,1,0,1,0,0,0,0,1,0
17,,1804895,7,364,39,2336,shot,ivan-perisic,38710,27.9,37.0,0,0,50.4,20.8,0,0,1,0,1,0,1,0,0,0,0,0,1
