,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,1868394,90,4.0,5580,1,720,shot,,harry-kane,108579,8.3,52.2,0,0,38.5,4.2,1,0,0,1,0,0,0,1,0,1,0,0
1,1868386,86,,5126,5,274,shot,,ivan-perisic,38710,8.3,41.8,0,0,48.6,16.5,1,0,0,1,0,0,0,0,1,1,0,0
2,1868377,82,,4890,9,510,shot,,tommy-doyle,932628,24.9,54.3,0,0,54.1,19.0,1,0,0,0,1,1,0,0,0,0,1,0
3,1868373,79,,4734,12,666,shot,regular,iliman-ndiaye,914309,11.2,39.7,0,0,53.6,0.6,0,0,1,0,1,0,1,0,0,0,0,1
4,1868362,76,,4518,15,882,shot,,pedro-porro,913654,27.5,74.8,0,0,60.0,1.4,1,0,0,1,0,0,0,1,0,0,0,1
5,1868353,71,,4237,20,1163,shot,,pedro-porro,913654,12.8,65.1,0,0,59.8,55.6,1,0,0,1,0,0,0,1,0,0,1,0
6,1868314,61,,3630,30,1770,shot,,richarlison,840217,20.4,43.7,0,0,7.4,30.6,1,0,0,1,0,0,0,1,0,0,0,1
7,1868293,56,,3313,35,2087,shot,,jack-robinson,98454,8.8,50.1,0,0,52.9,70.8,0,1,0,0,1,0,0,1,0,1,0,0
8,1868292,55,,3271,36,2129,shot,,james-mcatee,1003334,3.4,28.9,0,0,47.6,19.0,1,0,0,0,1,1,0,0,0,0,1,0
9,1868277,53,,3140,38,2260,shot,,heung-min-son,111505,18.9,46.4,0,0,57.8,66.7,1,0,0,1,0,0,0,1,0,0,1,0
10,1868270,51,,3042,40,2358,shot,,lucas-moura,149710,8.5,69.1,0,0,51.1,19.0,1,0,0,1,0,1,0,0,0,0,0,1
11,1868263,50,,2973,41,2427,shot,,heung-min-son,111505,14.1,67.6,0,0,51.8,19.0,1,0,0,1,0,1,0,0,0,0,1,0
12,1868257,48,,2875,43,2525,shot,,ivan-perisic,38710,2.6,35.8,0,0,51.3,19.6,0,1,0,1,0,0,0,0,1,1,0,0
13,1868179,43,,2530,3,170,shot,,ismaila-cheick-coulibaly,873632,7.8,32.6,0,0,58.8,4.2,0,0,1,0,1,0,0,1,0,0,1,0
14,1868165,38,,2227,8,473,shot,,heung-min-son,111505,18.1,58.8,0,0,52.6,19.0,1,0,0,1,0,1,0,0,0,0,0,1
15,1868151,31,,1832,15,868,shot,,lucas-moura,149710,25.2,37.4,0,0,34.8,97.2,0,0,1,1,0,0,0,1,0,0,0,1
16,1868143,29,,1712,17,988,shot,,richarlison,840217,10.6,67.2,0,0,50.4,52.8,1,0,0,1,0,0,0,1,0,0,0,1
17,1868138,27,,1619,19,1081,shot,,ivan-perisic,38710,13.3,25.9,0,0,48.1,19.0,1,0,0,1,0,1,0,0,0,0,0,1
18,1868126,21,,1219,25,1481,shot,,pape-matar-sarr,1002711,29.3,41.0,0,0,53.8,6.3,1,0,0,1,0,0,0,0,1,0,0,1
19,1868129,15,,871,31,1829,shot,,heung-min-son,111505,19.6,75.0,0,0,52.9,5.7,0,1,0,1,0,0,0,0,1,0,1,0
20,1868085,10,,550,36,2150,shot,,heung-min-son,111505,20.9,67.0,0,0,49.5,19.0,1,0,0,1,0,1,0,0,0,0,0,1
21,1868080,8,,452,38,2248,shot,,richarlison,840217,13.3,64.8,0,0,47.8,19.0,1,0,0,1,0,1,0,0,0,0,0,1
22,1868065,4,,234,42,2466,shot,,anel-ahmedhodzic,825899,5.7,47.4,0,0,57.3,81.9,0,1,0,0,1,0,0,1,0,1,0,0
23,1868064,4,,197,42,2503,shot,,brooks-andre,1406286,9.0,28.3,0,0,52.8,19.0,1,0,0,0,1,1,0,0,0,0,1,0
