,event.id,player.dateOfBirthTimestamp,player.firstName,player.id,player.lastName,player.marketValueCurrency,player.name,player.position,player.shortName,player.slug,player.userCount,position,statistics.accurateCross,statistics.accurateKeeperSweeper,statistics.accurateLongBalls,statistics.accuratePass,statistics.aerialLost,statistics.aerialWon,statistics.bigChanceCreated,statistics.bigChanceMissed,statistics.blockedScoringAttempt,statistics.challengeLost,statistics.clearanceOffLine,statistics.dispossessed,statistics.duelLost,statistics.duelWon,statistics.errorLeadToAGoal,statistics.errorLeadToAShot,statistics.expectedAssists,statistics.expectedGoals,statistics.fouls,statistics.goalAssist,statistics.goals,statistics.goalsPrevented,statistics.goodHighClaim,statistics.hitWoodwork,statistics.interceptionWon,statistics.keyPass,statistics.lastManTackle,statistics.minutesPlayed,statistics.onTargetScoringAttempt,statistics.outfielderBlock,statistics.ownGoals,statistics.penaltyConceded,statistics.penaltyMiss,statistics.penaltyWon,statistics.possessionLostCtrl,statistics.punches,statistics.rating,statistics.ratingVersions.alternative,statistics.ratingVersions.original,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.shotOffTarget,statistics.totalClearance,statistics.totalContest,statistics.totalCross,statistics.totalKeeperSweeper,statistics.totalLongBalls,statistics.totalOffside,statistics.totalPass,statistics.totalTackle,statistics.touches,statistics.wasFouled,statistics.wonContest,team.disabled,team.gender,team.id,team.name,team.nameCode,team.national,team.shortName,team.slug,team.sport.id,team.sport.name,team.sport.slug,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,team.type,team.userCount
0,11352597,489715200,,10589,,EUR,Ashley Young,D,A. Young,ashley-young,1903,D,4,,1,37,2,1,,,,3,,,7,8,,,0.135524,0.0729,1,,,,,,1,2,,90,1,,,,,,33,,7.3,7.2,7.3,,,,2,1,9,,6,,60,4,101,3,,FALSE,M,48,Everton,EVE,FALSE,Everton,everton,1,Football,football,#274488,#ffffff,#ffffff,0,158447
5,11352252,659577600,,33902,,EUR,Danny Welbeck,F,D. Welbeck,danny-welbeck,1894,F,,,,12,3,,,,1,,,1,4,2,,,0.13625,0.324,,,,,,1,,,,78,1,,,,,,6,,7.1,7,7.1,,,2,2,1,,,,,14,,29,1,1,FALSE,M,30,Brighton & Hove Albion,BRI,FALSE,Brighton,brighton-and-hove-albion,1,Football,football,#0054a6,#ffffff,#ffffff,0,166749
6,11352428,659577600,,33902,,EUR,Danny Welbeck,F,D. Welbeck,danny-welbeck,1894,F,,,,19,1,,,,,,,5,7,2,,,0.0374785,0.172,1,,,,,,,1,,57,1,,,,,,9,,6.8,6.7,6.8,,,1,1,,,,,1,22,,38,2,,FALSE,M,30,Brighton & Hove Albion,BRI,FALSE,Brighton,brighton-and-hove-albion,1,Football,football,#0054a6,#ffffff,#ffffff,0,166749
7,11352466,659577600,,33902,,EUR,Danny Welbeck,F,D. Welbeck,danny-welbeck,1894,M,,,,18,3,2,,,1,,,1,5,5,,,0.186677,0.0384,,,,,,,,2,,60,,,,,,,5,,6.7,6.5,6.7,,,,,1,,,1,,21,1,29,2,,FALSE,M,30,Brighton & Hove Albion,BRI,FALSE,Brighton,brighton-and-hove-albion,1,Football,football,#0054a6,#ffffff,#ffffff,0,166749
8,11352437,602380800,,38710,,EUR,Ivan Perišić,M,I. Perišić,ivan-perisic,12181,M,,,1,18,,,,,,2,,,4,3,,,0.0186913,0.0352,1,,,,,,1,,,31,,,,,,,6,,6.9,6.7,6.9,,,1,,2,2,,1,,20,2,30,,1,FALSE,M,33,Tottenham Hotspur,TOT,FALSE,Tottenham ,tottenham-hotspur,1,Football,football,#ffffff,#000066,#000066,0,542927
9,11352578,625622400,,39183,,EUR,Joel Ward,D,J. Ward,joel-ward,256,D,,,2,23,1,,,,,,,,2,3,,,0.0150332,0.0138,1,,,,,,,,,90,,,,,,,13,,6.5,6.6,6.5,,,1,7,,,,10,,35,3,54,,,FALSE,M,7,Crystal Palace,CRY,FALSE,Crystal Palace,crystal-palace,1,Football,football,#0033ff,#b90d2b,#b90d2b,0,103707
10,11352524,643852800,,44614,,EUR,Kyle Walker,D,K. Walker,kyle-walker,9035,D,2,,3,68,1,,,,1,,,,2,3,,,0.440851,0.0357,,,,,,,,3,,90,,,,,,,16,,7.6,7.4,7.6,,,1,1,3,8,,5,,75,1,96,,2,FALSE,M,17,Manchester City,MCI,FALSE,Man City,manchester-city,1,Football,football,#66ccff,#ffffff,#ffffff,0,1204183
11,11352251,630201600,,45944,,EUR,Cheikhou Kouyaté,M,C. Kouyaté,cheikhou-kouyate,3038,M,,,,3,1,,,,,,,,1,,,,,0.0224,,,,,,,,,,9,,1,,,,,,,6.7,6.7,6.7,,,1,,,,,,,3,,5,,,FALSE,M,14,Nottingham Forest,NFO,FALSE,Forest,nottingham-forest,1,Football,football,#cc0000,#cc0000,#cc0000,0,93438
12,11352418,638582400,,47772,,EUR,Michail Antonio,F,M. Antonio,michail-antonio,4740,F,,,,5,3,1,,,1,,,1,5,3,,,,0.2184,1,,1,,,,,,,76,1,,,,,,9,,7.1,7.1,7.1,,,,,,,,1,,11,,19,2,,FALSE,M,37,West Ham United,WHU,FALSE,West Ham,west-ham-united,1,Football,football,#66192c,#59b3e4,#59b3e4,0,206986
13,11352466,638582400,,47772,,EUR,Michail Antonio,F,M. Antonio,michail-antonio,4740,F,,,1,7,3,,,1,,,,1,4,6,,,0.321333,0.6537,,,1,,,,,1,,79,2,1,,,,,7,,7.6,7.6,7.6,,,1,,3,,,1,1,10,1,26,2,3,FALSE,M,37,West Ham United,WHU,FALSE,West Ham,west-ham-united,1,Football,football,#66192c,#59b3e4,#59b3e4,0,206986
