,event.attendance,event.awayScore.current,event.awayScore.display,event.awayScore.normaltime,event.awayScore.period1,event.awayScore.period2,event.awayTeam.country.alpha2,event.awayTeam.country.name,event.awayTeam.foundationDateTimestamp,event.awayTeam.fullName,event.awayTeam.id,event.awayTeam.manager.country.alpha2,event.awayTeam.manager.country.name,event.awayTeam.manager.id,event.awayTeam.manager.name,event.awayTeam.manager.slug,event.awayTeam.name,event.awayTeam.nameCode,event.awayTeam.shortName,event.awayTeam.slug,event.awayTeam.subTeams,event.awayTeam.teamColors.primary,event.awayTeam.teamColors.secondary,event.awayTeam.teamColors.text,event.awayTeam.type,event.awayTeam.userCount,event.awayTeam.venue.city.name,event.awayTeam.venue.country.alpha2,event.awayTeam.venue.country.name,event.awayTeam.venue.id,event.awayTeam.venue.stadium.capacity,event.awayTeam.venue.stadium.name,event.changes.changeTimestamp,event.changes.changes,event.crowdsourcingDataDisplayEnabled,event.currentPeriodStartTimestamp,event.customId,event.defaultPeriodCount,event.defaultPeriodLength,event.detailId,event.fanRatingEvent,event.finalResultOnly,event.hasEventPlayerHeatMap,event.hasEventPlayerStatistics,event.hasGlobalHighlights,event.hasXg,event.homeScore.current,event.homeScore.display,event.homeScore.normaltime,event.homeScore.period1,event.homeScore.period2,event.homeTeam.country.alpha2,event.homeTeam.country.name,event.homeTeam.disabled,event.homeTeam.foundationDateTimestamp,event.homeTeam.fullName,event.homeTeam.id,event.homeTeam.manager.country.alpha2,event.homeTeam.manager.country.name,event.homeTeam.manager.id,event.homeTeam.manager.name,event.homeTeam.manager.slug,event.homeTeam.name,event.homeTeam.nameCode,event.homeTeam.national,event.homeTeam.shortName,event.homeTeam.slug,event.homeTeam.subTeams,event.homeTeam.teamColors.primary,event.homeTeam.teamColors.secondary,event.homeTeam.teamColors.text,event.homeTeam.type,event.homeTeam.userCount,event.homeTeam.venue.city.name,event.homeTeam.venue.country.alpha2,event.homeTeam.venue.country.name,event.homeTeam.venue.id,event.homeTeam.venue.stadium.capacity,event.homeTeam.venue.stadium.name,event.id,event.referee.country.alpha2,event.referee.country.name,event.referee.games,event.referee.id,event.referee.name,event.referee.redCards,event.referee.slug,event.referee.yellowCards,event.referee.yellowRedCards,event.roundInfo.round,event.season.id,event.season.name,event.season.year,event.slug,event.startTimestamp,event.status.code,event.status.description,event.status.type,event.time.currentPeriodStartTimestamp,event.time.injuryTime1,event.time.injuryTime2,event.tournament.uniqueTournament.hasEventPlayerStatistics,event.venue.city.name,event.venue.id,event.venue.stadium.capacity,event.venue.stadium.name,event.winnerCode
0,11000.0,1.0,1.0,1.0,0.0,1.0,EN,England,-2366755200,West Ham United,37,SX,Scotland,52950,David Moyes,david-moyes,West Ham United,WHU,West Ham,west-ham-united,[],#66192c,#59b3e4,#59b3e4,0,208425,London,EN,England,1274,62000,London Stadium,1691855620,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",False,1691855616.0,Mkb,2,45,1.0,False,False,True,True,True,True,1.0,1.0,1.0,0.0,1.0,EN,England,False,-2240524800,Bournemouth,60,ES,Spain,790205,Andoni Iraola,andoni-iraola,Bournemouth,BOU,False,Bournemouth,bournemouth,[],#000000,#cc0000,#cc0000,0,67569,Bournemouth,EN,England,2990,11700,Vitality Stadium,11352250,EN,England,259.0,84326.0,Peter Bankes,30.0,peter-bankes,1074.0,14.0,1,52186,Premier League 23/24,23/24,bournemouth-west-ham-united,1691848800,100,Ended,finished,1691855616.0,1.0,6.0,True,Bournemouth,2990,11700,Vitality Stadium,3
1,59984.0,1.0,1.0,1.0,0.0,1.0,EN,England,-3313440000,Nottingham Forest,14,WA,Wales,786818,Steve Cooper,steve-cooper,Nottingham Forest,NFO,Forest,nottingham-forest,[],#cc0000,#cc0000,#cc0000,0,90691,Nottingham,EN,England,2230,30445,City Ground,1691848857,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",False,1691848853.0,osR,2,45,1.0,False,False,True,True,True,True,2.0,2.0,2.0,2.0,0.0,EN,England,False,-2621894400,Arsenal,42,ES,Spain,794075,Mikel Arteta,mikel-arteta,Arsenal,ARS,False,Arsenal,arsenal,[],#cc0000,#ffffff,#ffffff,0,877612,London,EN,England,624,60260,Emirates Stadium,11352251,EN,England,456.0,65702.0,Michael Oliver,37.0,oliver-michael,1651.0,28.0,1,52186,Premier League 23/24,23/24,arsenal-nottingham-forest,1691841600,100,Ended,finished,1691848853.0,3.0,7.0,True,London,624,60260,Emirates Stadium,1
2,31872.0,1.0,1.0,1.0,0.0,1.0,EN,England,-2673648000,Luton Town,72,WA,Wales,787556,Rob Edwards,rob-edwards,Luton Town,LUT,Luton,luton-town,[],#ff3300,#000033,#000033,0,33853,Luton,EN,England,2178,10226,Kenilworth Road,1691855704,"['status.code', 'status.description', 'status.type']",False,1691852559.0,Fsxb,2,45,1.0,False,False,True,True,True,True,4.0,4.0,4.0,1.0,3.0,EN,England,False,-2159827200,Brighton & Hove Albion,30,IT,Italy,595814,Roberto De Zerbi,roberto-de-zerbi,Brighton & Hove Albion,BRI,False,Brighton,brighton-and-hove-albion,[],#0054a6,#ffffff,#ffffff,0,161203,Falmer,EN,England,2443,31810,American Express Community's Stadium,11352252,EN,England,305.0,92026.0,David Coote,25.0,david-coote,1208.0,20.0,1,52186,Premier League 23/24,23/24,luton-town-brighton-and-hove-albion,1691848800,100,Ended,finished,1691852559.0,1.0,7.0,True,Falmer,2443,31810,American Express Community's Stadium,1
3,39940.0,1.0,1.0,1.0,0.0,1.0,EN,England,-2841091200,Fulham,43,PT,Portugal,205808,Marco Silva,marco-silva,Fulham,FUL,Fulham,fulham,[],#ffffff,#000000,#000000,0,113132,London,EN,England,611,25700,Craven Cottage,1691855752,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",False,1691855749.0,TsY,2,45,1.0,False,False,True,True,True,True,0.0,0.0,0.0,0.0,0.0,EN,England,False,-2890166400,Everton,48,EN,England,20312,Sean Dyche,sean-dyche,Everton,EVE,False,Everton,everton,[],#274488,#ffffff,#ffffff,0,160086,Liverpool,EN,England,12,39571,Goodison Park,11352253,EN,England,312.0,52597.0,Stuart Attwell,31.0,stuart-attwell,1114.0,16.0,1,52186,Premier League 23/24,23/24,everton-fulham,1691848800,100,Ended,finished,1691855749.0,1.0,6.0,True,Liverpool,12,39571,Goodison Park,2
4,31194.0,1.0,1.0,1.0,0.0,1.0,EN,England,-2051222400,Crystal Palace,7,EN,England,52951,Roy Hodgson,roy-hodgson,Crystal Palace,CRY,Crystal Palace,crystal-palace,[],#0033ff,#b90d2b,#b90d2b,0,104637,London,EN,England,10,25456,Selhurst Park,1691855700,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",False,1691855698.0,hsp,2,45,1.0,False,False,True,True,True,True,0.0,0.0,0.0,0.0,0.0,EN,England,False,-2549145600,Sheffield United,15,EN,England,786621,Paul Heckingbottom,paul-heckingbottom,Sheffield United,SHU,False,Sheffield Utd,sheffield-united,[],#ffffff,#ff0000,#ff0000,0,54437,Sheffield,EN,England,598,32702,Bramall Lane,11352254,EN,England,218.0,785811.0,John Brooks,19.0,brooks-john,845.0,12.0,1,52186,Premier League 23/24,23/24,sheffield-united-crystal-palace,1691848800,100,Ended,finished,1691855698.0,1.0,5.0,True,Sheffield,598,32702,Bramall Lane,2
5,52207.0,1.0,1.0,1.0,1.0,0.0,EN,England,-3024345600,Aston Villa,40,ES,Spain,53062,Unai Emery,unai-emery,Aston Villa,AVL,Aston Villa,aston-villa,[],#670e36,#94bee5,#94bee5,0,174557,Birmingham,EN,England,815,42682,Villa Park,1691865265,"['status.code', 'status.description', 'status.type']",False,1691862192.0,OP,2,45,1.0,False,False,True,True,True,True,5.0,5.0,5.0,2.0,3.0,EN,England,False,-2431814400,Newcastle United,39,EN,England,19618,Eddie Howe,eddie-howe,Newcastle United,NEW,False,Newcastle,newcastle-united,[],#000000,#ffffff,#ffffff,0,263581,Newcastle upon Tyne,EN,England,765,52409,St James' Park,11352255,EN,England,327.0,79884.0,Andy Madley,27.0,andy-madley,1099.0,13.0,1,52186,Premier League 23/24,23/24,aston-villa-newcastle-united,1691857800,100,Ended,finished,1691862192.0,10.0,5.0,True,Newcastle upon Tyne,765,52409,St James' Park,1
6,21572.0,3.0,3.0,3.0,2.0,1.0,EN,England,-2811888000,Manchester City,17,ES,Spain,53463,Pep Guardiola,pep-guardiola,Manchester City,MCI,Man City,manchester-city,[],#66ccff,#ffffff,#ffffff,0,1209047,Manchester,EN,England,606,53400,Etihad Stadium,1691787691,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",False,1691787688.0,gsr,2,45,1.0,False,False,True,True,True,True,0.0,0.0,0.0,0.0,0.0,EN,England,False,-2776982400,Burnley,6,BE,Belgium,792129,Vincent Kompany,vincent-kompany,Burnley,BUR,False,Burnley,burnley,[],#81204c,#8fd2f4,#8fd2f4,0,78976,Burnley,EN,England,806,21944,Turf Moor,11352303,EN,England,368.0,81627.0,Craig Pawson,37.0,pawson-craig,1413.0,20.0,1,52186,Premier League 23/24,23/24,manchester-city-burnley,1691780400,100,Ended,finished,1691787688.0,5.0,6.0,True,Burnley,806,21944,Turf Moor,2
7,,,,,,,EN,England,-2366755200,West Ham United,37,SX,Scotland,52950,David Moyes,david-moyes,West Ham United,WHU,West Ham,west-ham-united,[],#66192c,#59b3e4,#59b3e4,0,208309,London,EN,England,1274,62000,London Stadium,0,,False,,Msab,2,45,,False,False,,,False,,,,,,,EN,England,False,-2531779200,Brentford,50,DK,Denmark,94249,Thomas Frank,thomas-frank,Brentford,BRE,False,Brentford,brentford,[],#ffffff,#ff0000,#ff0000,0,98582,London,EN,England,29716,17250,Brentford Community Stadium,11352304,,,,,,,,,,11,52186,Premier League 23/24,23/24,brentford-west-ham-united,1699110000,0,Not started,notstarted,,,,True,London,29716,17250,Brentford Community Stadium,0
8,,,,,,,EN,England,-2051222400,Crystal Palace,7,EN,England,52951,Roy Hodgson,roy-hodgson,Crystal Palace,CRY,Crystal Palace,crystal-palace,[],#0033ff,#b90d2b,#b90d2b,0,104618,London,EN,England,10,25456,Selhurst Park,0,,False,,gsh,2,45,,False,False,,,False,,,,,,,EN,England,False,-2776982400,Burnley,6,BE,Belgium,792129,Vincent Kompany,vincent-kompany,Burnley,BUR,False,Burnley,burnley,[],#81204c,#8fd2f4,#8fd2f4,0,78741,Burnley,EN,England,806,21944,Turf Moor,11352305,,,,,,,,,,11,52186,Premier League 23/24,23/24,crystal-palace-burnley,1699110000,0,Not started,notstarted,,,,True,Burnley,806,21944,Turf Moor,0
9,,,,,,,EN,England,-2159827200,Brighton & Hove Albion,30,IT,Italy,595814,Roberto De Zerbi,roberto-de-zerbi,Brighton & Hove Albion,BRI,Brighton,brighton-and-hove-albion,[],#0054a6,#ffffff,#ffffff,0,160427,Falmer,EN,England,2443,31810,American Express Community's Stadium,0,,False,,FsY,2,45,,False,False,,,False,,,,,,,EN,England,False,-2890166400,Everton,48,EN,England,20312,Sean Dyche,sean-dyche,Everton,EVE,False,Everton,everton,[],#274488,#ffffff,#ffffff,0,159915,Liverpool,EN,England,12,39571,Goodison Park,11352306,,,,,,,,,,11,52186,Premier League 23/24,23/24,everton-brighton-and-hove-albion,1699110000,0,Not started,notstarted,,,,True,Liverpool,12,39571,Goodison Park,0
