,addedTime,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,bodyPart,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,draw.start.x,draw.start.y,event.awayTeam.name,event.awayTeam.slug,event.homeTeam.name,event.homeTeam.slug,event.id,event.slug,event.winnerCode,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalMouthLocation,goalType,homeTeam_False,homeTeam_True,id,incidentType,isHome,opponent,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,player.firstName,player.id,player.lastName,player.name,player.position,player.shortName,player.slug,player.userCount,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,reversedPeriodTime,reversedPeriodTimeSeconds,shotType,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,situation,team,time,timeSeconds,xg,xgot,shot.angle,shot.distance,xG,xG_per90,statistics.minutesPlayed,statistics.expectedAssists
0,5,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,51.6,0,51.6,96.8,53.8,3.3,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,48.4,3.2,low-centre,regular,0,1,2139012,shot,True,Luton Town,0,1,0,0,0,0,999231,0,Evan Ferguson,F,E. Ferguson,evan-ferguson,3970,3.3,53.8,0,1,611,goal,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,90,5689,0.0,0.0,98.09971592950345,6.8844903540369105,0.6860385154061625,5.145288865546219,12,0.03265
1,3,0.0,0.0,0,head,1,0,0,0,0.0,0.0,49.7,0,49.7,31.9,50.9,7.7,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,50.3,68.1,high,0,1,0,2138977,shot,False,Brighton & Hove Albion,0,0,1,0,0,0,358222,0,Carlton Morris,F,C. Morris,carlton-morris,751,7.7,50.9,0,1,758,miss,0,1,0,0,0,0,0,0,corner,Luton Town,90,5542,0.0,0.0,71.45549915090149,9.55544565080932,0.001176470588235294,0.0011764705882352,90,0.0881637
2,2,0.9,50.2,0,right-foot,0,0,0,1,50.2,0.9,49.2,0,49.2,70.3,49.1,14.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,50.8,29.7,high-centre,0,1,0,2138964,shot,False,Brighton & Hove Albion,0,0,0,0,1,0,858911,0,Jacob Brown,M,J. Brown,jacob-brown,159,14.2,49.1,0,1,793,save,1,0,0,0,0,0,0,0,assisted,Luton Town,90,5507,0.0,0.0,42.93799258466791,15.282475757995709,0.02422218691456976,0.0838460316273568,26,0.0
3,0,1.0,46.9,0,right-foot,0,0,0,1,46.9,1.0,46.8,0,46.8,96.8,40.4,6.4,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,53.2,3.2,low-left,0,0,1,2138924,shot,True,Luton Town,0,0,0,0,1,0,48480,0,Pascal Groß,M,P. Groß,pascal-gross,2191,6.4,40.4,0,2,80,save,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,89,5320,0.0,0.0,35.67368964844684,11.947484822117833,0.07108736585543309,0.071087365855433,90,0.456669
4,0,1.5,47.1,0,left-foot,0,1,0,0,47.1,1.5,46.8,0,46.8,91.1,41.0,8.1,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,53.2,8.9,low-left,0,0,1,2138872,shot,True,Luton Town,0,0,0,0,1,0,975079,0,João Pedro,F,J. Pedro,joao-pedro,3903,8.1,41.0,0,4,206,save,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,87,5194,0.0,0.0,38.645025108056,12.677730764394635,0.07958789211708467,0.0813967078470184,88,0.0329176
5,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,55.1,0,55.1,90.5,37.5,16.5,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,44.9,9.5,right,0,0,1,2138877,shot,True,Luton Town,0,0,0,1,0,0,999231,0,Evan Ferguson,F,E. Ferguson,evan-ferguson,3970,16.5,37.5,0,5,260,post,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,86,5140,0.0,0.0,25.091954969174306,21.13225951180891,0.05796509971509972,0.4347382478632479,12,0.03265
6,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,53.2,0,53.2,87.3,58.1,4.4,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,46.8,12.7,low-right,regular,0,1,2138832,shot,True,Luton Town,0,1,0,0,0,0,1110842,0,Simon Adingra,F,S. Adingra,simon-adingra,1439,4.4,58.1,0,6,352,goal,0,0,0,0,0,1,0,0,regular,Brighton & Hove Albion,85,5048,0.0,0.0,41.73638110095324,9.797623691236092,0.6377936622147808,3.5875893499581424,16,0.00614193
7,0,0.6,47.7,0,left-foot,0,1,0,0,47.7,0.6,48.3,0,48.3,74.1,32.3,8.7,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.7,25.9,high-centre,0,0,1,2138839,shot,True,Luton Town,0,0,0,0,1,0,805465,0,Pervis Estupiñán,D,P. Estupiñán,pervis-estupinan,4372,8.7,32.3,0,6,358,save,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,85,5042,0.0,0.0,15.386066651798883,19.799777026931796,0.0,0.0,90,0.860694
8,0,2.0,51.6,0,right-foot,0,0,0,1,51.6,2.0,48.7,0,48.7,93.0,68.4,22.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.3,7.0,low-centre,0,0,1,2138816,shot,True,Luton Town,0,0,0,0,1,0,907668,0,Billy Gilmour,M,B. Gilmour,gilmour-billy,3495,22.2,68.4,0,7,393,save,0,0,0,0,0,1,0,0,regular,Brighton & Hove Albion,84,5007,0.0,0.0,17.189851352959423,29.22123149996608,0.03624074074074074,0.2038541666666666,16,0.045871
9,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,46.9,0,46.9,97.5,50.0,11.5,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,53.1,2.5,low-left,penalty,1,0,2138758,shot,False,Brighton & Hove Albion,0,1,0,0,0,0,358222,0,Carlton Morris,F,C. Morris,carlton-morris,751,11.5,50.0,0,10,594,goal,0,0,0,0,1,0,0,0,penalty,Luton Town,81,4806,0.0,0.0,51.92538029437744,12.791328443185254,0.8301222222222222,0.8301222222222222,90,0.0881637
