,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.82691556215286,0.884,2139012,90,5.0,5689,1,611,shot,evan-ferguson,999231,3.3,53.8,0,0,48.4,3.2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,0,0.14423790574074,0.0,2138977,90,3.0,5542,1,758,shot,carlton-morris,358222,7.7,50.9,0,0,50.3,68.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2,0,0.1116481795907,0.0947,2138964,90,2.0,5507,1,793,shot,jacob-brown,858911,14.2,49.1,0,0,50.8,29.7,0.90000000000001,50.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3,0,0.35055294632912,0.5969,2138924,89,0.0,5320,2,80,shot,pascal-gross,48480,6.4,40.4,0,0,53.2,3.2,1.0,46.9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4,0,0.15453560650349,0.1939,2138872,87,0.0,5194,4,206,shot,joao-pedro,975079,8.1,41.0,0,0,53.2,8.9,1.5,47.1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
5,0,0.048642192035913,0.0,2138877,86,0.0,5140,5,260,shot,evan-ferguson,999231,16.5,37.5,0,0,44.9,9.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
6,regular,0.2530597448349,0.7705,2138832,85,0.0,5048,6,352,shot,simon-adingra,1110842,4.4,58.1,0,0,46.8,12.7,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
7,0,0.057823870331049,0.1211,2138839,85,0.0,5042,6,358,shot,pervis-estupinan,805465,8.7,32.3,0,0,51.7,25.9,0.59999999999999,47.7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
8,0,0.011500036343932,0.0493,2138816,84,0.0,5007,7,393,shot,gilmour-billy,907668,22.2,68.4,0,0,51.3,7.0,2.0,51.6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
9,penalty,0.7884,0.9887,2138758,81,0.0,4806,10,594,shot,carlton-morris,358222,11.5,50.0,0,0,53.1,2.5,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
10,penalty,0.7884,0.9933,2138617,71,0.0,4219,20,1181,shot,joao-pedro,975079,11.5,50.0,0,0,45.9,17.1,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
11,0,0.062590077519417,0.0242,2138506,63,0.0,3766,28,1634,shot,solly-march,301288,11.7,40.0,0,0,49.8,15.8,1.6,48.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
12,0,0.0094122476875782,0.0,2138339,52,0.0,3100,39,2300,shot,pascal-gross,48480,12.8,19.9,0,0,55.2,1.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,0,0.059967644512653,0.0,2138271,48,0.0,2832,43,2568,shot,joao-pedro,975079,13.2,40.8,0,0,51.2,19.0,12.0,41.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
14,0,0.015860360115767,0.2187,2138262,47,0.0,2778,44,2622,shot,jan-paul-van-hecke,962012,14.4,48.0,0,0,53.9,13.9,1.9,49.8,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
15,0,0.079697966575623,0.0,2138115,45,1.0,2717,1,2683,shot,carlton-morris,358222,7.4,45.1,0,0,40.8,8.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
16,0,0.02000012807548,0.0,2138066,42,0.0,2487,4,213,shot,mahmoud-dahoud,341589,25.1,52.2,0,0,51.2,19.0,8.8,50.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
17,0,0.10218215733767,0.0,2138055,42,0.0,2484,4,216,shot,danny-welbeck,33902,10.3,47.4,0,0,50.7,19.0,8.9,47.7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
18,0,0.010454479604959,0.036,2138015,40,0.0,2392,6,308,shot,pervis-estupinan,805465,26.6,31.0,0,0,48.8,8.9,3.3,47.1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
19,0,0.17086887359619,0.0,2137985,39,0.0,2281,7,419,shot,danny-welbeck,33902,13.7,49.5,0,0,44.8,0.6,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
20,0,0.020681373775005,0.0,2137982,38,0.0,2234,8,466,shot,issa-kabore,1006189,24.2,58.3,0,0,58.3,69.4,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
21,0,0.043029349297285,0.0293,2137971,37,0.0,2206,9,494,shot,carlton-morris,358222,8.8,42.7,0,0,50.5,3.8,0.7,48.2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
22,regular,0.33304944634438,0.8647,2137959,36,0.0,2107,10,593,shot,solly-march,301288,6.1,53.0,0,0,53.7,20.9,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
23,0,0.013420227915049,0.0,2137930,34,0.0,2036,12,664,shot,marvelous-nakamba,556904,24.2,58.3,0,0,51.8,19.0,12.5,53.4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
24,0,0.018412739038467,0.0,2137911,33,0.0,1963,13,737,shot,mitoma-kaoru,936849,15.2,26.8,0,0,59.5,41.7,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
