,goalType,xg,xgot,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.1184646487236,0.0795,2150474,89,5331,2,69,shot,chris-wood,50480,8.2,55.9,0,0,51.9,10.8,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0.26758500933647,0.6183,2150443,78,4673,13,727,shot,benie-traore,1099792,13.7,61.5,0,0,53.0,3.2,6.4,56.5,0,0,0,1,0,1,0,0,0,0,1,0,0,1
2,0,0.043002691119909,0.0,2150433,73,4372,18,1028,shot,joe-worrall,838399,10.7,56.5,0,0,45.7,75.0,0.0,0.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
3,0,0.020555533468723,0.0,2150432,72,4261,19,1139,shot,williams-neco,927356,19.7,28.9,0,0,47.2,19.0,11.4,39.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
4,0,0.031449668109417,0.0,2150431,71,4254,20,1146,shot,anthony-elanga,979232,19.0,41.0,0,0,51.4,19.0,16.8,41.9,0,1,0,0,0,0,1,1,0,0,0,0,0,1
5,0,0.098229698836803,0.0,2150425,71,4204,20,1196,shot,danilo,1064039,18.1,50.1,0,0,49.6,19.0,12.7,50.2,0,0,0,1,0,0,1,1,0,0,0,0,0,1
6,0,0.046099446713924,0.0,2150417,69,4096,22,1304,shot,osula-william,1122603,4.6,40.0,0,0,27.4,19.4,2.8,60.5,0,0,1,0,0,1,0,0,0,1,0,1,0,0
7,0,0.26456612348557,0.8784,2150405,65,3865,26,1535,shot,willy-boly,139310,3.6,52.8,0,0,46.1,19.0,1.1,51.3,0,0,1,0,0,0,1,0,0,0,1,0,0,1
8,0,0.025150222703815,0.0,2150390,62,3685,29,1715,shot,danilo,1064039,25.5,68.1,0,0,73.6,77.8,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
9,0,0.032067719846964,0.0,2150350,52,3106,39,2294,shot,vinicius-souza,979290,25.6,52.4,0,0,42.0,29.2,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10,0,0.034577004611492,0.0,2150342,51,3053,40,2347,shot,jack-robinson,98454,13.2,28.9,0,0,40.8,11.1,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
11,regular,0.024407807737589,0.4588,2150318,48,2826,43,2574,shot,gustavo-hamer,837495,18.2,31.0,0,0,46.3,24.7,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
12,0,0.072670355439186,0.0,2150301,46,2755,45,2645,shot,anel-ahmedhodzic,825899,11.3,53.9,0,0,48.3,19.0,9.8,53.6,0,0,0,1,0,1,0,1,0,0,0,0,0,1
13,0,0.030775379389524,0.0,2150184,45,2668,1,32,shot,morgan-gibbs-white,865912,21.2,34.2,0,0,45.4,63.9,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
14,0,0.010529736988246,0.0,2150168,43,2554,3,146,shot,serge-aurier,105697,4.3,68.8,0,0,46.4,65.3,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
15,0,0.074784018099308,0.0,2150193,43,2551,3,149,shot,joe-worrall,838399,7.9,50.1,0,0,34.1,6.9,5.3,63.9,0,0,1,0,0,0,1,0,0,1,0,1,0,0
16,0,0.030725387856364,0.0,2150146,40,2343,6,357,shot,brennan-johnson,1085180,19.5,51.0,0,0,49.9,19.0,17.5,50.9,0,0,0,1,0,0,1,1,0,0,0,0,0,1
17,0,0.023726101964712,0.449,2150101,34,1982,12,718,shot,vinicius-souza,979290,25.3,41.5,0,0,45.7,20.3,1.2,50.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
18,0,0.11470377445221,0.0,2150090,32,1897,14,803,shot,willy-boly,139310,6.9,50.9,0,0,51.8,77.8,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
19,0,0.020173916593194,0.0,2150082,31,1850,15,850,shot,brennan-johnson,1085180,15.5,69.3,0,0,52.4,19.0,14.2,67.5,0,1,0,0,0,0,1,1,0,0,0,0,1,0
20,0,0.18581549823284,0.0,2149999,16,943,30,1757,shot,scott-mckenna,358108,4.8,47.3,0,0,48.2,48.6,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
21,0,0.035011015832424,0.3247,2149992,14,839,32,1861,shot,morgan-gibbs-white,865912,19.8,45.2,0,0,54.0,3.8,1.5,49.8,0,1,0,0,0,0,1,0,0,0,1,0,0,1
22,regular,0.28583556413651,0.7678,2149945,3,144,43,2556,shot,taiwo-awoniyi,359664,6.1,47.6,0,0,52.5,31.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
