,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,penalty,0.7884,0.9925,2157210,90,5.0,5686,1,614,shot,lucas-paqueta,839981,11.5,50.0,0,0,46.3,3.8,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0.052432868629694,0.2852,2157194,90,2.0,5474,1,826,shot,noni-madueke,966547,20.8,66.6,0,0,46.0,1.3,1.5,52.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2,0,0.1134430617094,0.102,2157190,90,1.0,5413,1,887,shot,pablo-fornals,816763,9.5,36.5,0,0,52.4,4.4,1.5,47.7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
3,0,0.078389622271061,0.0,2157170,85,0.0,5058,6,342,shot,mykhaylo-mudryk,958966,9.5,35.3,0,0,29.6,9.7,2.4,73.8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,0,0.055740125477314,0.0,2157138,80,0.0,4783,11,617,shot,levi-colwill,996911,22.4,40.2,0,0,40.8,4.2,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5,0,0.015150531195104,0.053,2157131,79,0.0,4733,12,667,shot,jarrod-bowen,552884,25.4,70.5,0,0,48.0,8.2,1.8,51.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6,0,0.034301675856113,0.0,2157067,65,0.0,3898,26,1502,shot,said-benrahma,354808,20.5,56.5,0,0,60.8,5.6,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7,0,0.023184940218925,0.0,2157052,62,0.0,3713,29,1687,shot,moises-caicedo,987650,22.7,64.8,0,0,42.7,63.9,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
8,0,0.095774881541729,0.0,2157050,62,0.0,3710,29,1690,shot,conor-gallagher,904970,12.4,54.2,0,0,49.9,19.0,10.1,53.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
9,0,0.055844657123089,0.0,2157049,62,0.0,3706,29,1694,shot,raheem-sterling,138534,4.4,65.5,0,0,46.2,19.0,3.2,62.3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
10,regular,0.07585547119379,0.3921,2156997,53,0.0,3177,38,2223,shot,michail-antonio,47772,14.1,61.9,0,0,53.6,4.4,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
11,0,0.037751346826553,0.0,2156976,51,0.0,3032,40,2368,shot,james-ward-prowse,161717,25.8,44.0,0,0,50.1,19.0,20.8,45.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
12,0,0.12123236805201,0.0,2156818,45,2.0,2800,1,2600,shot,ben-chilwell,802695,12.7,39.0,0,0,49.1,19.0,5.0,46.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
13,0,0.01172683108598,0.0,2156808,43,0.0,2572,3,128,shot,said-benrahma,354808,21.6,29.5,0,0,42.9,90.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
14,0,0.7884,0.98,2156807,43,0.0,2550,3,150,shot,enzo-fernandez,974505,11.5,50.0,0,0,53.0,13.9,0.0,50.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
15,0,0.064221203327179,0.0,2156777,37,0.0,2170,9,530,shot,lucas-paqueta,839981,14.9,49.0,0,0,44.3,1.9,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
16,0,0.047560442239046,0.0,2156774,35,0.0,2092,11,608,shot,gusto-malo,996958,18.5,49.9,0,0,60.7,2.8,12.7,46.9,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
17,0,0.075961239635944,0.0,2156752,32,0.0,1896,14,804,shot,levi-colwill,996911,8.2,49.9,0,0,38.5,8.3,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
18,regular,0.10789204388857,0.2264,2156744,28,0.0,1674,18,1026,shot,carney-chukwuemeka,994556,10.0,36.3,0,0,47.6,18.4,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
19,0,0.10899975150824,0.0,2156726,24,0.0,1423,22,1277,shot,ben-chilwell,802695,7.3,46.0,0,0,63.9,13.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
20,0,0.093443356454372,0.0,2156717,22,0.0,1260,24,1440,shot,nicolas-jackson,1085381,14.5,49.3,0,0,46.7,86.1,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
21,0,0.029726820066571,0.0457,2156713,21,0.0,1258,25,1442,shot,conor-gallagher,904970,25.9,65.2,0,0,51.0,20.9,1.9,52.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
22,0,0.038967568427324,0.0,2156708,20,0.0,1189,26,1511,shot,thiago-silva,33541,7.8,57.5,0,0,47.2,19.0,6.4,56.7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,0,0.019568676128983,0.0,2156698,17,0.0,976,29,1724,shot,said-benrahma,354808,21.1,26.8,0,0,51.9,19.0,17.1,30.9,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
24,0,0.69223320484161,0.0,2156670,14,0.0,808,32,1892,shot,nicolas-jackson,1085381,3.1,50.3,0,0,49.4,73.6,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
25,0,0.14259198307991,0.0,2156666,13,0.0,723,33,1977,shot,michail-antonio,47772,14.0,54.6,0,0,50.2,19.0,10.6,53.4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
26,regular,0.12684650719166,0.4037,2156628,7,0.0,375,39,2325,shot,nayef-aguerd,877102,5.6,45.8,0,0,54.5,14.6,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
27,0,0.36690744757652,0.7257,2156621,5,0.0,258,41,2442,shot,jarrod-bowen,552884,2.7,47.8,0,0,51.0,15.2,1.0,47.3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
28,0,0.028625641018152,0.0,2156605,2,0.0,63,44,2637,shot,enzo-fernandez,974505,21.9,61.4,0,0,39.2,9.7,15.5,60.8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
