,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.42823824286461,0.4915,2182271,90,2.0,5513,1,787,shot,callum-wilson,113956,7.3,60.0,0,0,50.8,1.9,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0.099579051136971,0.0,2182249,90,0.0,5360,1,40,shot,simon-adingra,1110842,9.4,48.1,0,0,53.9,19.0,8.1,47.8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2,0,0.017157632857561,0.1638,2182221,87,0.0,5189,4,211,shot,fabian-schar,101882,3.8,35.5,0,0,52.3,32.9,0.90000000000001,47.3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
3,0,0.02818413823843,0.0,2182111,75,0.0,4485,16,915,shot,harvey-barnes,855647,15.8,27.7,0,0,48.7,19.0,6.6,41.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
4,0,0.026901323348284,0.0,2182088,72,0.0,4282,19,1118,shot,alexander-isak,823941,18.2,35.9,0,0,50.7,19.0,17.0,36.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
5,regular,0.050039295107126,0.2283,2182080,70,0.0,4193,21,1207,shot,evan-ferguson,999231,17.9,61.6,0,0,46.3,4.4,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
6,0,0.1954820305109,0.0,2182055,67,0.0,4001,24,1399,shot,gordon-anthony,914902,11.0,60.0,0,0,40.2,4.2,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
7,regular,0.032648246735334,0.2556,2182047,65,0.0,3881,26,1519,shot,evan-ferguson,999231,26.1,47.4,0,0,45.9,12.7,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
8,0,0.012720361351967,0.0,2181720,44,0.0,2632,2,68,shot,lewis-dunk,115365,12.9,45.4,0,0,59.2,30.6,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
9,0,0.039844907820225,0.0,2181686,39,0.0,2302,7,398,shot,alexander-isak,823941,18.1,50.7,0,0,50.8,19.0,9.8,50.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
10,0,0.046081818640232,0.0,2181648,32,0.0,1888,14,812,shot,mitoma-kaoru,936849,11.8,32.2,0,0,52.2,19.0,9.9,34.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
11,0,0.14475345611572,0.0,2181628,29,0.0,1712,17,988,shot,joao-pedro,975079,14.0,46.4,0,0,55.3,68.1,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
12,0,0.12418851256371,0.0,2181626,28,0.0,1671,18,1029,shot,joelinton,560128,15.1,48.6,0,0,59.7,2.8,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
13,0,0.024574996903539,0.1018,2181619,27,0.0,1579,19,1121,shot,gilmour-billy,907668,25.8,38.6,0,0,47.6,15.8,1.6,49.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
14,regular,0.76123785972595,0.82,2181618,27,0.0,1580,19,1120,shot,evan-ferguson,999231,6.3,53.4,0,0,50.6,2.5,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
15,0,0.075075380504131,0.2081,2181616,27,0.0,1575,19,1125,shot,mitoma-kaoru,936849,3.4,35.5,0,0,47.7,6.3,0.90000000000001,45.7,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
16,0,0.029468940570951,0.0,2181555,19,0.0,1087,27,1613,shot,mitoma-kaoru,936849,13.0,27.3,0,0,49.0,19.0,10.9,31.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
17,0,0.031439799815416,0.0,2181538,16,0.0,957,30,1743,shot,mitoma-kaoru,936849,19.4,29.9,0,0,50.8,19.0,16.4,32.8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
18,0,0.062041100114584,0.1229,2181521,14,0.0,797,32,1903,shot,evan-ferguson,999231,8.7,33.6,0,0,52.5,3.2,1.4,47.3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
19,0,0.022490333765745,0.0,2181511,11,0.0,633,35,2067,shot,pervis-estupinan,805465,21.4,35.9,0,0,67.4,11.1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
20,0,0.072613000869751,0.0,2181486,7,0.0,383,39,2317,shot,joao-pedro,975079,8.5,51.1,0,0,69.4,8.3,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
21,0,0.022078983485699,0.0,2181476,5,0.0,285,41,2415,shot,solly-march,301288,17.8,71.5,0,0,61.0,45.8,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
22,0,0.25128427147865,0.0,2181462,3,0.0,163,43,2537,shot,alexander-isak,823941,12.2,54.4,0,0,40.5,8.3,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
23,0,0.15854687988758,0.0,2181459,1,0.0,54,45,2646,shot,alexander-isak,823941,7.7,60.3,0,0,42.7,2.8,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
