,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.11557103693485,0.7884,2181254,90,4.0,5607,1,693,shot,josh-brownhill,358394,8.6,36.8,0,0,45.5,1.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0.23179394006729,0.0551,2181101,82,0.0,4886,9,514,shot,hannes-delcroix,826169,8.1,50.9,0,0,50.3,22.2,1.1,49.8,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2,0,0.055662348866463,0.0,2181103,82,0.0,4874,9,526,shot,jacob-bruun-larsen,809276,21.1,32.5,0,0,49.4,19.0,14.0,38.6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
3,0,0.04177724942565,0.0,2181078,80,0.0,4764,11,636,shot,dara-oshea,856719,4.4,60.8,0,0,41.8,58.3,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
4,0,0.062448676675558,0.0,2181074,80,0.0,4741,11,659,shot,josh-brownhill,358394,19.6,52.4,0,0,51.1,19.0,11.2,50.9,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
5,0,0.015277712605894,0.0,2181058,79,0.0,4683,12,717,shot,ameen-al-dakhil,964761,21.8,36.7,0,0,64.5,25.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
6,0,0.048789840191603,0.0,2181090,78,0.0,4642,13,758,shot,ameen-al-dakhil,964761,14.6,52.4,0,0,50.1,19.0,9.0,51.4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
7,0,0.021445829421282,0.0,2181052,78,0.0,4640,13,760,shot,ameen-al-dakhil,964761,18.7,50.3,0,0,50.7,19.0,8.9,50.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
8,0,0.02688117697835,0.0,2181029,77,0.0,4577,14,823,shot,cullen-josh,792122,23.6,59.3,0,0,47.1,19.0,15.9,57.2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
9,0,0.131292283535,0.0,2181010,76,0.0,4505,15,895,shot,pedro-porro,913654,11.1,61.5,0,0,69.4,2.8,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
