,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,shot_sit_assisted,shot_sit_corner,shot_sit_penalty,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.18851044774055,0.4629,2181301,90,5.0,5683,1,617,shot,erling-haaland,839956,12.7,45.8,0,0,53.9,0.6,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0.12739291787148,0.4241,2181042,74,0.0,4415,17,985,shot,raul-jimenez,192442,7.6,60.3,0,0,45.9,27.2,1.2,53.1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2,penalty,0.7884,0.9964,2180983,70,0.0,4150,21,1250,shot,erling-haaland,839956,11.5,50.0,0,0,54.3,23.4,0.0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
3,0,0.079657472670078,0.0,2180917,64,0.0,3803,27,1597,shot,julian-alvarez,944656,7.4,39.9,0,0,53.6,19.0,6.2,41.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
4,0,0.27734234929085,0.2805,2180875,60,0.0,3579,31,1821,shot,luke-harris,1134729,9.9,56.3,0,0,50.1,24.1,1.8,51.8,0,1,0,0,0,1,0,0,0,0,1,0,0,1
5,regular,0.52607268095016,0.6844,2180857,58,0.0,3478,33,1922,shot,erling-haaland,839956,14.7,53.0,0,0,52.5,1.9,0.0,0.0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
6,0,0.0059578032232821,0.0,2180669,47,0.0,2777,44,2623,shot,bobby-decordova-reid,151499,26.2,26.5,0,0,42.0,91.7,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,regular,0.029156491160393,0.3761,2180526,45,5.0,2954,1,2446,shot,nathan-ake,149663,12.2,54.4,0,0,54.3,8.9,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
8,regular,0.9563016295433,0.9719,2180324,33,0.0,1922,13,778,shot,tim-ream,118179,1.1,46.8,0,0,53.1,7.6,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
9,0,0.41053622961044,0.2958,2180315,33,0.0,1920,13,780,shot,bobby-decordova-reid,151499,4.4,52.0,0,0,51.1,12.0,1.8,50.9,0,0,1,0,0,1,0,0,0,0,1,0,0,1
10,0,0.063531026244164,0.0,2180306,33,0.0,1920,13,780,shot,raul-jimenez,192442,9.3,60.8,0,0,50.6,19.0,4.7,55.2,0,0,1,0,0,1,0,1,0,0,0,0,0,1
11,regular,0.5741753578186,0.8622,2180289,31,0.0,1801,15,899,shot,julian-alvarez,944656,6.9,51.0,0,0,47.9,2.5,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
12,0,0.073857165873051,0.0,2180294,30,0.0,1799,16,901,shot,erling-haaland,839956,10.3,33.4,0,0,26.1,4.2,7.2,48.9,0,1,0,0,0,0,1,0,0,1,0,0,1,0
