,goalType,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,regular,0.35227939486504,0.9156,1938484,90,5.0,5651,1,649,shot,dango-ouattara,1106451,11.2,39.2,0,0,45.8,10.1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,,0.12022493034601,,1938475,90,4.0,5584,1,716,shot,richarlison,840217,6.9,51.7,0,0,43.4,12.5,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2,regular,0.094688110053539,0.3712,1938448,88,,5263,3,137,shot,arnaut-danjuma,827064,15.1,47.4,0,0,53.9,3.8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
3,,0.036618091166019,0.0931,1938442,87,,5217,4,183,shot,jefferson-lerma,355796,20.1,65.8,0,0,47.6,4.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4,,0.024430071935058,,1938419,85,,5057,6,343,shot,pedro-porro,913654,25.6,69.2,0,0,42.4,84.7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
5,,0.037137124687433,,1938381,81,,4804,10,596,shot,ivan-perisic,38710,26.8,63.4,0,0,41.5,31.9,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
6,,0.03769001737237,0.0309,1938336,76,,4543,15,857,shot,harry-kane,108579,25.9,44.1,0,0,51.0,16.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
7,,0.079710923135281,,1938357,76,,4522,15,878,shot,arnaut-danjuma,827064,14.0,47.0,0,0,50.8,19.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
8,,0.076980657875538,,1938347,76,,4520,15,880,shot,harry-kane,108579,8.4,45.0,0,0,49.9,19.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
9,,0.11480838805437,0.0292,1938316,74,,4419,17,981,shot,jaidon-anthony,1020680,4.4,31.0,0,0,50.0,24.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
10,,0.01403711270541,,1938285,72,,4275,19,1125,shot,pierre-emile-hojbjerg,149593,12.3,59.6,0,0,41.2,18.1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
11,,0.30036523938179,,1938268,70,,4193,21,1207,shot,harry-kane,108579,7.6,50.8,0,0,61.2,23.6,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
