,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xgot,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_regular,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,0.073164269328117,1962883,90,4.0,5603,1,697,shot,,,fred,243623,18.9,50.5,0,0,50.9,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0.094399221241474,1962881,90,3.0,5544,1,756,shot,,,casemiro,122951,7.4,55.4,0,0,42.7,47.2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2,0.016231058165431,1962878,84,,4999,7,401,shot,,,marcus-rashford,814590,25.2,39.1,0,0,47.7,61.1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
3,0.66136163473129,1962875,79,,4728,12,672,shot,regular,0.9865,heung-min-son,111505,3.5,46.0,0,0,46.3,4.4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
4,0.03471002727747,1962874,75,,4472,16,928,shot,,0.0874,harry-kane,108579,19.4,65.8,0,0,47.9,3.8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5,0.44599834084511,1962865,69,,4099,22,1301,shot,,,eric-dier,146101,5.9,50.7,0,0,41.0,2.8,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
6,0.029834534972906,1962863,67,,3978,24,1422,shot,,,dejan-kulusevski,928124,8.4,71.5,0,0,62.0,5.6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7,0.40317517518997,1962861,66,,3905,25,1495,shot,,,heung-min-son,111505,9.9,41.8,0,0,39.7,4.2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
8,0.025966159999371,1962856,63,,3744,28,1656,shot,,0.0346,pierre-emile-hojbjerg,149593,22.2,53.0,0,0,51.0,5.1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
9,0.044717948883772,1962854,62,,3679,29,1721,shot,,,harry-kane,108579,21.1,38.5,0,0,46.5,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
10,0.024352923035622,1962848,60,,3592,31,1808,shot,,,pierre-emile-hojbjerg,149593,22.2,43.6,0,0,58.7,15.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
11,0.019289279356599,1962843,58,,3425,33,1975,shot,,0.1244,antony,958380,22.4,64.9,0,0,52.3,20.9,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
12,0.070369981229305,1962842,57,,3380,34,2020,shot,,0.2225,aaron-wan-bissaka,863653,10.0,43.9,0,0,51.9,15.8,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
13,0.52822983264923,1962844,57,,3379,34,2021,shot,,,bruno-fernandes,288205,7.7,49.3,0,0,52.5,39.2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
14,0.092703603208065,1962840,56,,3303,35,2097,shot,regular,0.2694,pedro-porro,913654,13.6,57.9,0,0,46.6,23.4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
15,0.26408106088638,1962841,56,,3300,35,2100,shot,,,harry-kane,108579,3.7,54.4,0,0,46.3,19.0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
16,0.02129478380084,1962826,50,,2952,41,2448,shot,,,pierre-emile-hojbjerg,149593,30.5,52.8,0,0,37.3,37.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0.079655557870865,1962825,48,,2847,43,2553,shot,,,pedro-porro,913654,10.5,65.8,0,0,49.8,19.0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
18,0.32670480012894,1962780,44,,2594,2,106,shot,regular,0.5684,marcus-rashford,814590,9.5,37.6,0,0,52.8,21.5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
19,0.1059687063098,1962777,43,,2568,3,132,shot,,0.1353,ivan-perisic,38710,11.4,34.0,0,0,49.4,20.9,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20,0.036262489855289,1962774,42,,2502,4,198,shot,,,christian-eriksen,105734,28.9,49.9,0,0,51.3,68.1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
21,0.07204732298851,1962773,41,,2423,5,277,shot,,0.0701,marcus-rashford,814590,12.1,30.7,0,0,51.7,1.9,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
22,0.050629042088985,1962769,40,,2352,6,348,shot,,,harry-kane,108579,2.7,33.6,0,0,5.5,2.8,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,0.27469128370285,1962768,39,,2312,7,388,shot,,0.4731,marcus-rashford,814590,4.3,57.9,0,0,47.7,9.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
24,0.073211960494518,1962759,33,,1942,13,758,shot,,,bruno-fernandes,288205,13.2,42.5,0,0,50.6,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
25,0.036597307771444,1962755,28,,1679,18,1021,shot,,,heung-min-son,111505,12.8,67.9,0,0,49.1,19.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
26,0.051155734807253,1962754,28,,1675,18,1025,shot,,0.0974,ivan-perisic,38710,4.1,35.9,0,0,49.4,34.8,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
27,0.021077740937471,1962749,25,,1482,21,1218,shot,,0.0318,bruno-fernandes,288205,28.7,31.3,0,0,49.1,17.7,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
28,0.045030314475298,1962747,24,,1396,22,1304,shot,,,bruno-fernandes,288205,8.1,67.2,0,0,48.7,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
29,0.014404794201255,1962743,21,,1201,25,1499,shot,,,pedro-porro,913654,28.3,68.1,0,0,45.7,72.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
30,0.19808658957481,1962742,19,,1109,27,1591,shot,,,sancho-jadon,851100,10.4,38.3,0,0,48.6,19.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
