,id,time,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,name,playerId,player_x,player_y,player_z,goalMouth_x,goalMouth_y,goalMouth_z,shot_sit_assisted,shot_sit_corner,shot_sit_free-kick,shot_sit_regular,shot_sit_set-piece,homeTeam_False,homeTeam_True,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,bodyPart_head,bodyPart_left-foot,bodyPart_right-foot
0,1783241,81,4809,10,591,shot,,emerson-royal,856123,12.5,23.6,0,0,48.8,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,1783236,78,4659,13,741,shot,,harry-kane,108579,2.1,67.8,0,0,43.9,15.3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2,1783224,74,4383,17,1017,shot,,bryan-gil,910026,23.4,68.6,0,0,50.2,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3,1783222,71,4244,20,1156,shot,,heung-min-son,111505,22.9,29.0,0,0,54.2,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
4,1783217,70,4165,21,1235,shot,,owen-dale,845570,18.2,59.5,0,0,49.4,19.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
5,1783213,68,4037,23,1363,shot,,skipp-oliver,859901,9.6,46.7,0,0,49.6,62.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6,1783212,67,3974,24,1426,shot,,ryan-sessegnon,836698,26.2,39.8,0,0,50.9,19.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
7,1783200,63,3736,28,1664,shot,,heung-min-son,111505,31.3,67.1,0,0,39.3,62.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
8,1783196,62,3660,29,1740,shot,,japhet-tanganga,836693,30.5,66.2,0,0,48.5,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
9,1783193,60,3544,31,1856,shot,,heung-min-son,111505,21.6,64.7,0,0,54.3,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
10,1783176,53,3137,38,2263,shot,,heung-min-son,111505,14.4,57.7,0,0,39.2,79.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
11,1783169,50,2995,41,2405,shot,regular,harry-kane,108579,17.5,37.3,0,0,45.8,21.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
12,1783168,49,2914,42,2486,shot,,emerson-royal,856123,4.0,61.0,0,0,55.3,25.9,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
13,1783165,48,2877,43,2523,shot,,connor-ogilvie,284427,8.3,53.1,0,0,36.5,65.3,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
14,1783141,45,2671,1,29,shot,,heung-min-son,111505,15.5,30.4,0,0,41.5,31.9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
15,1783138,43,2547,3,153,shot,,pape-matar-sarr,1002711,26.2,35.6,0,0,42.9,11.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
16,1783137,42,2470,4,230,shot,,emerson-royal,856123,26.2,66.2,0,0,50.8,19.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
17,1783136,40,2385,6,315,shot,,davinson-sanchez,566102,7.9,51.2,0,0,42.4,26.4,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
18,1783135,40,2378,6,322,shot,,harry-kane,108579,24.7,33.2,0,0,50.6,19.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
19,1783095,14,816,32,1884,shot,,harry-kane,108579,2.4,57.9,0,0,45.9,19.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
20,1783090,12,689,34,2011,shot,,reeco-hackett-fairchild,892954,13.1,44.0,0,0,53.5,12.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
